     5.2500   -7.836852E-04  6.263598E-03  1.244092E+01
     5.3000    1.397136E-04  3.760654E-03  1.260353E+01
     5.3500    1.643884E-04  1.346858E-03  1.268873E+01
     5.4000   -6.395570E-04  1.033366E-03  1.009213E+01
     5.4500   -2.188421E-03  3.242370E-03  1.016567E+01
     5.5000   -4.246855E-03  5.384182E-03  1.033358E+01
     5.5500   -6.604743E-03  7.450148E-03  1.051456E+01
     5.6000   -9.029388E-03  9.437733E-03  1.070034E+01
     5.6500   -1.126275E-02  1.131896E-02  1.089587E+01
     5.7000   -1.306682E-02  1.312725E-02  1.109156E+01
     5.7500   -1.423040E-02  1.486005E-02  1.128772E+01
     5.8000   -1.457976E-02  1.651484E-02  1.148452E+01
     5.8500   -1.393341E-02  1.806572E-02  1.168555E+01
     5.9000   -1.227546E-02  1.954535E-02  1.188733E+01
     5.9500   -9.611176E-03  2.095267E-02  1.208983E+01
     6.0000   -6.016213E-03  2.228621E-02  1.229303E+01
     6.0500   -1.530087E-03  2.355727E-02  1.250137E+01
     6.1000    3.545015E-03  2.475125E-02  1.271009E+01
     6.1500    8.941015E-03  2.586627E-02  1.291932E+01
     6.2000    1.435296E-02  2.690090E-02  1.312916E+01
     6.2500    1.945727E-02  2.785414E-02  1.333973E+01
     6.3000    2.393181E-02  2.872540E-02  1.355110E+01
     6.3500    2.747648E-02  2.951453E-02  1.376337E+01
     6.4000    2.983314E-02  3.022181E-02  1.397662E+01
     6.4500    3.080338E-02  3.084795E-02  1.419093E+01
     6.5000    3.026318E-02  3.139405E-02  1.440639E+01
     6.5500    2.820564E-02  3.196610E-02  1.462711E+01
     6.6000    2.457960E-02  3.246391E-02  1.484904E+01
     6.6500    1.952535E-02  3.288734E-02  1.507231E+01
     6.7000    1.327758E-02  3.323657E-02  1.529701E+01
     6.7500    6.155259E-03  3.351213E-02  1.552324E+01
     6.8000   -1.454720E-03  3.371488E-02  1.575112E+01
     6.8500   -9.119061E-03  3.384610E-02  1.598076E+01
     6.9000   -1.638391E-02  3.390749E-02  1.621226E+01
     6.9500   -2.280346E-02  3.390119E-02  1.644574E+01
     7.0000   -2.796953E-02  3.382984E-02  1.668131E+01
     7.0500   -3.166835E-02  3.378842E-02  1.692263E+01
     7.1000   -3.346599E-02  3.367890E-02  1.716626E+01
     7.1500   -3.320579E-02  3.350397E-02  1.741227E+01
     7.2000   -3.086880E-02  3.326706E-02  1.766079E+01
     7.2500   -2.658129E-02  3.297234E-02  1.791191E+01
     7.3000   -2.061138E-02  3.262474E-02  1.816572E+01
     7.3500   -1.335455E-02  3.222991E-02  1.842232E+01
     7.4000   -5.308368E-03  3.179416E-02  1.868181E+01
     7.4500    2.961921E-03  3.132443E-02  1.894425E+01
     7.5000    1.086467E-02  3.082817E-02  1.920972E+01
     7.5500    1.793271E-02  3.034589E-02  1.948178E+01
     7.6000    2.351334E-02  2.984331E-02  1.975694E+01
     7.6500    2.717994E-02  2.932882E-02  2.003517E+01
     7.7000    2.865552E-02  2.881086E-02  2.031646E+01
     7.7500    2.783868E-02  2.829775E-02  2.060072E+01
     7.8000    2.481485E-02  2.779735E-02  2.088783E+01
     7.8500    1.985155E-02  2.731689E-02  2.117762E+01
     7.9000    1.337753E-02  2.686264E-02  2.146986E+01
     7.9500    5.947328E-03  2.643966E-02  2.176427E+01
     8.0000   -1.805748E-03  2.605161E-02  2.206052E+01
     8.0500   -9.278733E-03  2.567244E-02  2.236095E+01
     8.1000   -1.575387E-02  2.532483E-02  2.266254E+01
     8.1500   -2.068184E-02  2.500824E-02  2.296490E+01
     8.2000   -2.365781E-02  2.472053E-02  2.326766E+01
     8.2500   -2.445721E-02  2.445810E-02  2.357046E+01
     8.3000   -2.305435E-02  2.421605E-02  2.387295E+01
     8.3500   -1.962228E-02  2.398847E-02  2.417484E+01
     8.4000   -1.451395E-02  2.376866E-02  2.447588E+01
     8.4500   -8.226527E-03  2.354950E-02  2.477589E+01
     8.5000   -1.352591E-03  2.332369E-02  2.507472E+01
     8.5500    5.501677E-03  2.308920E-02  2.537333E+01
     8.6000    1.169947E-02  2.283296E-02  2.567071E+01
     8.6500    1.670185E-02  2.254889E-02  2.596685E+01
     8.7000    2.009731E-02  2.223153E-02  2.626178E+01
     8.7500    2.163719E-02  2.187622E-02  2.655557E+01
     8.8000    2.125436E-02  2.147916E-02  2.684834E+01
     8.8500    1.906351E-02  2.103745E-02  2.714020E+01
     8.9000    1.534355E-02  2.054918E-02  2.743129E+01
     8.9500    1.050441E-02  2.001342E-02  2.772177E+01
     9.0000    5.041934E-03  1.943017E-02  2.801184E+01
     9.0500   -5.365564E-04  1.882847E-02  2.830283E+01
     9.1000   -5.709828E-03  1.818147E-02  2.859379E+01
     9.1500   -1.002861E-02  1.749126E-02  2.888492E+01
     9.2000   -1.315161E-02  1.676070E-02  2.917650E+01
     9.2500   -1.487410E-02  1.599336E-02  2.946879E+01
     9.3000   -1.514116E-02  1.519346E-02  2.976213E+01
     9.3500   -1.404498E-02  1.436584E-02  3.005688E+01
     9.4000   -1.180690E-02  1.351588E-02  3.035346E+01
     9.4500   -8.746950E-03  1.264947E-02  3.065238E+01
     9.5000   -5.244434E-03  1.177297E-02  3.095423E+01
     9.5500   -1.701479E-03  1.091382E-02  3.125939E+01
     9.6000    1.530650E-03  1.005383E-02  3.156877E+01
     9.6500    4.146196E-03  9.200291E-03  3.188343E+01
     9.7000    5.932143E-03  8.361031E-03  3.220471E+01
     9.7500    6.785571E-03  7.544582E-03  3.253431E+01
     9.8000    6.717754E-03  6.760362E-03  3.287439E+01
     9.8500    5.845109E-03  6.018977E-03  3.322767E+01
     9.9000    4.368626E-03  5.332602E-03  3.359745E+01
     9.9500    2.544642E-03  4.715359E-03  3.398750E+01
    10.0000    6.507144E-04  4.183361E-03  3.440134E+01
    10.0500   -1.042160E-03  3.746487E-03  3.483941E+01
    10.1000   -2.319077E-03  3.422651E-03  3.530197E+01
    10.1500   -3.030336E-03  3.221873E-03  3.578177E+01
    10.2000   -3.112170E-03  3.141896E-03  3.626598E+01
    10.2500   -2.590741E-03  3.166056E-03  3.674069E+01
    10.3000   -1.574686E-03  3.267768E-03  3.719631E+01
    10.3500   -2.375167E-04  3.418328E-03  3.762957E+01
    10.4000    1.207669E-03  3.592827E-03  3.804192E+01
    10.4500    2.537775E-03  3.772436E-03  3.843698E+01
    10.5000    3.549811E-03  3.944269E-03  3.881886E+01
    10.5500    4.087721E-03  4.100377E-03  3.919132E+01
    10.6000    4.062638E-03  4.236684E-03  3.955754E+01
    10.6500    3.464140E-03  4.352136E-03  3.992011E+01
    10.7000    2.361246E-03  4.448074E-03  4.028111E+01
    10.7500    8.931478E-04  4.527770E-03  4.064214E+01
    10.8000   -7.490085E-04  4.596046E-03  4.100440E+01
    10.8500   -2.346941E-03  4.658904E-03  4.136864E+01
    10.9000   -3.683476E-03  4.723133E-03  4.173518E+01
    10.9500   -4.570667E-03  4.795830E-03  4.210386E+01
    11.0000   -4.874301E-03  4.883861E-03  4.247408E+01
    11.0500   -4.526282E-03  4.995124E-03  4.284823E+01
    11.1000   -3.539410E-03  5.134204E-03  4.322167E+01
    11.1500   -2.013451E-03  5.304262E-03  4.359294E+01
    11.2000   -1.191951E-04  5.506504E-03  4.396065E+01
    11.2500    1.921192E-03  5.740165E-03  4.432358E+01
    11.3000    3.860267E-03  6.002704E-03  4.468082E+01
    11.3500    5.454736E-03  6.290142E-03  4.503182E+01
    11.4000    6.494675E-03  6.597448E-03  4.537635E+01
    11.4500    6.829060E-03  6.918932E-03  4.571445E+01
    11.5000    6.384546E-03  7.248566E-03  4.604634E+01
    11.5500    5.175298E-03  7.580251E-03  4.637239E+01
    11.6000    3.302695E-03  7.908010E-03  4.669304E+01
    11.6500    9.449541E-04  8.226121E-03  4.700876E+01
    11.7000   -1.662089E-03  8.529218E-03  4.732001E+01
    11.7500   -4.250795E-03  8.812349E-03  4.762725E+01
    11.8000   -6.551131E-03  9.071022E-03  4.793087E+01
    11.8500   -8.320278E-03  9.301225E-03  4.823128E+01
    11.9000   -9.369071E-03  9.499452E-03  4.852881E+01
    11.9500   -9.582292E-03  9.662704E-03  4.882379E+01
    12.0000   -8.930612E-03  9.788503E-03  4.911648E+01
    12.0500   -7.485485E-03  9.912938E-03  4.940964E+01
    12.1000   -5.349142E-03  9.997999E-03  4.970095E+01
    12.1500   -2.725751E-03  1.004235E-02  4.999061E+01
    12.2000    1.338106E-04  1.004514E-02  5.027880E+01
    12.2500    2.959065E-03  1.000597E-02  5.056570E+01
    12.3000    5.488560E-03  9.924886E-03  5.085145E+01
    12.3500    7.496792E-03  9.802389E-03  5.113620E+01
    12.4000    8.816463E-03  9.639397E-03  5.142007E+01
    12.4500    9.353762E-03  9.437231E-03  5.170318E+01
